ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	12158.1	16571.1	12128.6	16466.4	619.44287	11025.73828	360.50925	0.88466	1.11235	419.66278	-61666.22656	1933	2	9	1	829.656	829.656	1984.63289	7.55973	12158.1	16571.1	12345.9221510994	16650.1747978777
405/561	12141.5	16618.3	12109.6	16508.5	385.97546	9554.76563	364.14526	1.18543	1.02531	400.18213	18037.60938	1994	3	37	1	851.04	851.04	1719.85781	9.96165	12141.5	16618.3	12327.2045264272	16692.1557595438
405/561	12226	16473.6	12189.6	16344.4	665.20874	5815.32031	377.45734	1.45234	1.11139	388.44226	10289.8125	2217	1	2	1	818.64	818.64	1046.75766	10.74439	12226	16473.6	12408.2371797702	16527.620491233
405/561	12183.7	16528.2	12147.1	16392.1	489.16733	8622.86035	373.00641	1.31209	1.10896	363.13986	16553.78906	2293	2	12	1	822.528	822.528	1552.11486	9.38927	12183.7	16528.2	12366.0892420177	16575.1721154278
405/561	12219.3	16507.5	12182.5	16369.9	472.99557	11824.08887	334.36996	0.18912	1.19773	349.07022	22097.83984	2311	3	14	1	828.36	828.36	2128.336	6.78306	12219.3	16507.5	12401.5726343611	16552.9369713791
405/561	12241	16534.2	12204.1	16396.2	358.2233	8655.0791	339.70297	0.25732	1.05137	256.83133	17670.84766	2316	3	32	1	855.576	855.576	1557.91424	8.15582	12241	16534.2	12423.1957995196	16579.2272089809
405/561	12212.9	16600	12173.1	16442.8	646.71558	7736.8457	317.48157	0.64212	1.09697	297.93814	16272.91406	2543	3	4	1	854.928	854.928	1392.63223	8.44227	12212.9	16600	12393.2477750187	16625.3839232763
405/561	12220.7	16556.2	12180.6	16396.5	827.57147	14124.55469	327.86765	0.27017	1.10882	309.50128	23083.62109	2575	3	15	1	848.448	848.448	2542.41984	5.45148	12220.7	16556.2	12400.8961137636	16579.0214224638
405/561	12312.4	16508.3	12271.2	16341.7	483.60507	2717.1145	302.59976	1.35406	1.20052	255.29207	9245.30566	2666	1	35	1	843.912	843.912	489.08061	12.24222	12312.4	16508.3	12491.9180078613	16524.0436711263
405/561	12287.3	16515.2	12242.6	16338.4	555.01007	5264.43555	299.04318	1.44548	1.16749	183.6245	10444.02344	2823	2	14	1	850.392	850.392	947.5984	7.86903	12287.3	16515.2	12464.0460801737	16520.4369515782
405/561	12190.9	16618.7	12145.2	16439.3	380.35495	8146.88672	345.0549	0.03452	1.30087	328.07751	12341.43262	2864	2	35	1	803.736	803.736	1466.43961	8.33448	12190.9	16618.7	12366.8362520582	16621.2568427712
405/561	12320.4	16502.6	12270.8	16308.9	410.95935	5679.0542	301.13062	1.39349	1.18857	189.12943	11628.17383	3048	2	45	1	846.504	846.504	1022.22976	7.55618	12320.4	16502.6	12493.2898947122	16490.4972806142
405/561	12231.9	16530.2	12181.2	16331.9	521.54193	8335.25977	305.78189	1.32035	1.259	265.3566	17838.66992	3104	3	3	1	834.192	834.192	1500.34676	7.14883	12231.9	16530.2	12403.9497584132	16513.38783305
405/561	12422.7	16534.7	12370.6	16331.5	295.03247	1929.29614	326.45593	0.26923	1.07342	319.56989	3702.86914	3273	1	32	1	856.224	856.224	347.27331	20.36766	12422.7	16534.7	12594.1341509218	16512.6574936599
405/561	12272.4	16502	12219.7	16296.1	586.09369	6500.14453	337.18793	0.35683	1.33315	298.8736	13629.44922	3336	2	8	1	804.384	804.384	1170.02602	9.40083	12272.4	16502	12443.5266175486	16477.1343336457
405/561	12294.7	16576.4	12241.9	16370.2	413.27991	2279.12671	299.79346	1.35515	1.11974	351.81256	5098.16699	3343	1	23	1	857.52	857.52	410.24281	15.69152	12294.7	16576.4	12465.7591157967	16551.220648686
405/561	12315.1	16529.4	12261.3	16319.1	542.55322	11549.91699	335.57727	0.04532	1.08957	241.86525	22497.28906	3420	3	50	1	849.096	849.096	2078.98506	6.16852	12315.1	16529.4	12485.5166219144	16499.9701074612
405/561	12163.4	16762.2	12108.8	16548.5	312.33395	2263.86719	343.69714	0.23347	1.14702	465.45538	3759.7749	3483	1	12	1	832.248	832.248	407.49609	22.5643	12163.4	16762.2	12333.3091609465	16729.2469284323
405/561	12265.3	16533.1	12210.6	16319.3	395.18781	3416.64478	375.36884	1.1719	1.19587	345.86826	6869.79199	3485	1	1	1	800.496	800.496	614.99606	16.15556	12265.3	16533.1	12435.118448393	16500.0430178574
405/561	12271	16528	12216.3	16313.5	573.6394	7703.27148	364.3649	0.93798	1.14688	273.90121	13487.01367	3498	2	76	1	819.288	819.288	1386.58887	8.99272	12271	16528	12440.8788175277	16494.2175989284
405/561	12320.8	16497.3	12262.5	16279.5	767.64087	5510.80273	342.04907	0.01832	1.24463	197.69424	7959.14355	3574	1	43	1	815.4	815.4	991.94449	7.87233	12320.8	16497.3	12487.4317699092	16460.068989359
405/561	12280	16503.8	12218.9	16283.4	466.68616	3432.61353	346.22629	0.27496	1.17063	279.92838	5069.2876	3633	1	46	1	826.416	826.416	617.87043	12.96821	12280	16503.8	12444.1058014711	16463.8536137734
405/561	12286.5	16582.6	12221.2	16361.4	522.33228	2935.19751	302.62534	1.48928	1.29393	311.75375	6399.69531	3840	1	10	1	830.952	830.952	528.33555	12.27585	12286.5	16582.6	12447.3674264796	16541.4487709788
405/561	12286.4	16552.5	12220.9	16331.8	381.66165	3033.19336	359.89087	0.81628	1.13435	237.12125	4657.42041	3870	1	32	1	825.12	825.12	545.9748	14.50553	12286.4	16552.5	12447.2068162833	16511.7900918439
Bead Drift Correction	12158	16879.2	12091.9	16658.3	683.86102	5133.60645	349.7739	0.5573	1.08914	158.67247	6230.71582	3940	1	12	1	841.968	841.968	924.04916	8.12942	12158	16879.2	12318.5320816664	16838.1531679515
