ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	17390.1	7772.6	17382.8	7749.2	292.28024	2450.83252	369.67249	1.10975	1.14799	288.42798	3143.02588	433	1	257	1	-12.6	-12.6	441.14985	19.68693	17390.1	7772.6	17875.6548238502	8020.66643995059
405/561	17379.2	7781.9	17371.9	7757.5	255.1237	1611.5603	320.85434	0.80818	1.27826	336.58768	1851.64465	441	1	256	1	-4.824	-4.824	290.08085	23.74197	17379.2	7781.9	17864.7481295087	8028.9202121005
405/561	18249	8242.7	18241.8	8216.9	225.13075	3406.43994	324.67645	0.91104	1.40794	303.46808	4051.90967	453	2	239	1	-25.56	-25.56	613.15919	15.63113	18249	8242.7	18734.6380332577	8488.25095692174
405/561	17232.4	8851.3	17225.3	8819.1	440.8407	5379.27734	309.38855	1.44008	1.41595	343.91479	6034.92041	511	2	62	1	-16.488	-16.488	968.26992	10.05308	17232.4	8851.3	17718.0883002202	9090.11770191537
405/561	16317	8477.5	16309.7	8441.9	174.96669	1238.20032	339.60791	0.2597	1.32415	272.72723	1192.81897	575	1	230	1	-24.264	-24.264	222.87606	30.73278	16317	8477.5	16802.4315971572	8712.55285975058
405/561	17528.6	8410.6	17521.2	8374.8	928.14325	7972.90674	334.19919	0.50301	1.35755	257.70361	10337.56836	578	2	47	1	-25.56	-25.56	1435.12321	7.44152	17528.6	8410.6	18013.9288915407	8645.43583317243
405/561	16275.1	8564.1	16267.6	8525	264.7793	1610.49548	314.8457	1.27121	1.42624	269.43927	1538.01794	638	1	103	1	-21.024	-21.024	289.88919	20.98481	16275.1	8564.1	16760.2738700382	8795.29673991532
405/561	17537.1	7873.4	17529.3	7831	272.32999	1990.92566	345.17542	0.46241	1.04874	257.99921	2606.83887	700	1	203	1	25.632	25.632	358.36662	20.09065	17537.1	7873.4	18021.915169819	8100.94926179804
405/561	17425.4	7786.5	17417.6	7744	260.20685	2184.15601	369.86438	1.40678	1.01492	341.78589	2327.29517	702	1	222	1	23.688	23.688	393.14808	23.428	17425.4	7786.5	17910.213244622	8013.93810288328
405/561	16755.6	8596.4	16747.8	8550.9	263.51031	2848.74854	354.686	0.44098	1.22607	303.43884	2565.56982	766	2	120	1	-18.432	-18.432	512.77474	21.6427	16755.6	8596.4	17240.3505796434	8820.48269242318
405/561	16656.7	7970.6	16647.8	7911.2	122.15099	1859.33521	340.75748	0.18248	1.30474	259.65689	2505.40405	1016	2	176	1	-21.672	-21.672	334.68034	27.97526	16656.7	7970.6	17140.0854546385	8179.4265479306
405/561	17059.7	8609	17050.4	8547.1	133.07555	744.02417	301.85922	1.27946	1.12381	230.33937	1031.2948	1056	1	170	1	28.224	28.224	133.92435	36.90728	17059.7	8609	17542.639918864	8815.11449394199
